typification	typificationLabel
Q180628	04FF2CDA-27A0-47E4-8528-6A5B9468A89F: holotype of Kallstroemia hageri Rebman
Q180629	04a15401-d05b-40ac-889f-7015738a0559: isotype of Talisia hexaphylla subsp. multinervis Acev.-Rodr.
Q180630	04a4ae82-d59f-470e-95f2-c4063683af40: isotype of Verticordia mitchelliana subsp. implexior A.S.George & M.D.Barrett
Q180631	04a50970-fb4f-4612-8648-2427f1355e44: holotype of Dendrobium yondaliae Ormerod
Q180632	04a6c0b3-ed30-4354-939b-1eca1157e6f8: holotype of Obione polycarpa Torr.
Q180633	04a9eec4-8275-454c-ad84-ec576d6f62cc: isotype of Squamellaria huxleyana Chomicki
Q180634	04b31f8d-a8d7-49ac-a6c5-68252795013b: holotype of Botrychium paradoxum W.H.Wagner
Q180635	04b53f13-d403-454d-be89-c6e683eb3daa: holotype of Crocodeilanthe deltoidea Kolan. & Szlach.
Q180636	04bab61c-8f11-46e1-bca5-eec425a7e841: lectotype of Fragaria virginiana var. glauca S.Watson
Q180637	04bc4d38-a040-414b-bd5e-a03538afd2bb: isotype of Trigynaea cinnamomea D.M.Johnson & N.A.Murray
Q180638	04bf02a2-4b60-4081-9728-9587421cbfea: isotype of Protium alvarezianum Daly & P.Fine
Q180639	04c1942b-6db8-4fd8-8c72-a43b890489bf: holotype of Saurauia buscalioniana S.F.Blake
Q180640	04c2af01-bd00-4612-aa49-a219080f7c12: lectotype of Rusbyanthus cinchonifolius Gilg
Q180641	04cdea69-c596-4356-aba0-05f3a71e190f: holotype of Camellia reflexa Orel & Curry
Q180642	04d8b196-546c-4de1-9fb3-fa5d4e73278c: isotype of Bossiaea obovata I.Thomps.
Q180643	04de39aaf530eb8dd00d8e30d842785b: isotype of Calochortus balsensis García-Mend.
Q180644	04dfd374-d47c-4e0c-84f5-fd1ea541bb81: isotype of Ficus rubrivestimenta Weiblen & Whitfeld
Q180645	04e2b821-0c47-4d76-8c8d-3d08c2348dd4: holotype of Hypocalymma uncinatum Strid & Keighery
Q180646	04e2d560-86c9-4a67-879f-d22e17fd893a: isotype of Hypolytrum lucennoi M.Alves & W.W.Thomas
Q180647	04e328f6-9543-4de2-a913-3b70352a1a92: isotype of Phacelia sivinskii N.D.Atwood, P.J.Knight & Lowrey
Q180648	04e55333-a243-4aaf-b7aa-f70f208665a2: holotype of Cyanea pseudofauriei Lammers
Q180649	04ea8d97-9ca6-4a00-ae9a-da1d4bd429df: isotype of Thelymitra latiloba Jeanes
Q180650	04f3f5a7-9b43-4eca-88e4-d0ec8f1058fb: isotype of Calathea maasiorum H.Kenn.
Q180651	04f567e0-5741-4459-8f0d-1806e191f45a: holotype of Eutaxia lasiophylla G.R.Hend.
Q180652	04f617e5-6f6d-4bcd-858e-a6b23cec2f48: holotype of Physaria saximontana var. dentata Rollins
Q180653	0501e94c-6a4c-4c95-8a93-85bc1f6a78c3: holotype of Cirsium mimbresense G.L.Nesom
Q180654	0504e784-f740-492c-852f-d47841c985c9: isotype of Sedum patens Zika
Q180655	05074341-db03-4446-a17c-9c29101c55e9: isotype of Commersonia beeronensis Guymer
Q180656	050bd54b-df42-4183-9654-9fe5affd4303: isotype of Ceratostema rauhii Luteyn
Q180657	050e7e55-b2e7-4195-94b9-6e7d5b50fd1a: isotype of Ipomoea johnsoniana R.L.Barrett
Q180658	051025b3-df52-49b9-86d1-fccc5e660ec8: isotype of Inga suberosa T.D.Penn.
Q180659	0515ed9e-4af8-4346-8b34-207d98ae6164: holotype of Spiranthes maokensis M.C.Pace
Q180660	0517191f-8ad9-4195-9c72-c899b88098c2: holotype of Euphorbia villifera var. crepuscula L.C.Wheeler
Q180661	0517d8c4-610e-47ae-a320-9948f8f1c1de: holotype of Heliconia trichocarpa G.S.Daniels & F.G.Stiles
Q180662	0519f7a3-05ec-4505-8736-b526a50c9379: holotype of Bursera inversa Daly
Q180663	051aea8e-35b3-46fd-8afb-9592d0272043: holotype of Isotropis petrensis R.W.Davis & Wege
Q180664	051b6f93-ad06-4c7f-91b6-9f85ffae0c98: isotype of Hoffmannseggia multijuga S.Watson
Q180665	051c758356fe72f400b276957d8d9d4c: holotype of Chaetothylax rzedowskii Acosta
Q180666	05274dd6-6a9a-44f2-8684-795ec2eaebb4: holotype of Caladenia longicauda subsp. redacta Hopper & A.P.Br.
Q180667	052c57cc-1848-4f46-b5dc-0571b26fb112: isotype of Mimosa albolanata var. grossiceps Barneby
Q180668	0531a9fc-10eb-4415-892d-3f07d50c991a: isotype of Nectandra viburnoides Meisn.
Q180669	0532b70951f481f15355398cae02a8be: holotype of Linum rzedowskii Arreguín
Q180670	0532cfe7-4ac7-4637-a51e-1070aac7b913: isotype of Gnephosis newbeyi P.S.Short
Q180671	05334207-f95a-4705-84ac-148747139c28: isotype of Lepyrodia oligocolea B.G.Briggs & L.A.S.Johnson
Q180672	05364924-9918-4bdb-b691-7ae5a9206700: holotype of Helicia woxvoldiana W.N.Takeuchi
Q180673	05378a40-1f2a-49f0-9c23-61a6e19c03c5: neotype of Fouquieria jaboncillo Loes.
Q180674	05379b6d-c899-4673-9155-36aff81f33dd: isotype of Habenaria rosulifolia Espejo & López-Ferr.
Q180675	053e06d0-a152-414d-9aae-77ab8d794a5c: isolectotype of Platymiscium gracile Benth.
Q180676	053ecebd-84c8-4da7-9e00-09917d95c08a: holotype of Heterostemon mimosoides var. complanatus R.S.Cowan
Q180677	0ad5ef36-ff4e-4795-be0b-0e133417861c: isotype of Mimosa foliolosa var. foederalis Barneby
Q180678	0adb97579c261b9c83710eb9acdb94f1: isotype of Eriogonum apachense Reveal
Q180679	0adc7d62-706b-4cc4-b424-f0b5cd8e1022: holotype of Elleanthus steyermarkii Barringer
Q180680	0adcb5b5-c487-4f48-814d-88ba911bc529: holotype of Cynophalla amazonica Iltis ex Cornejo & Luber
Q180681	0add21c9-33a8-4bcc-bafd-adb1f7f99d76: lectotype of Crataegus egglestonii Sarg.
Q180682	0ae016a0-a041-4685-ac6d-9f4bb94243c3: isotype of Micronychia bemangidiensis Randrian. & Lowry
Q180703	0b1b2a5a-2c5b-4761-b616-7706830af6fa: holotype of Tripogandra neglecta Handlos
Q180683	0ae15d04-ce68-4777-81ba-8d58c7dc7f8e: isotype of Malaxis palustris Espejo & López-Ferr.
Q180684	0ae1a1a6-dc86-438a-bbbf-02b22a257421: holotype of Tetratheca exasperata R.Butcher
Q180685	0afff8cf-093c-4da8-a672-abe40eebb839: isotype of Sauvagesia lagevianae D.B.O.S.Cardoso
Q180686	0b004120f5d299c5854c80e2de47f357: holotype of Velascoa recondita Calderón & Rzed.
Q180687	0b020115-247c-4a7e-a45b-233a30f53ee2: isotype of Melaleuca exuvia Craven & Lepschi
Q180688	0ae66fac-19f8-49ab-a362-d006fd79d4d0: holotype of Dryopetalon runcinatum A.Gray
Q180689	0aee7a98-570e-4c71-888e-107660cba69d: holotype of Dendrobium josephinae Cootes
Q180690	0aeef29d-b465-4b0a-858c-105f887f103a: isotype of Leucopogon nitidus Hislop
Q180691	0af24b59-c450-414a-ab5c-124bfef3bf87: isotype of Thelypteris killipii A.R.Sm. & Lellinger
Q180692	0af40204-789e-4bb2-be48-b4d3c03ce36b: holotype of Hackelia ibapensis L.M.Shultz & J.S.Shultz
Q180693	0af43cee-4853-4fff-b3a4-59aa9ded0433: isotype of Philodendron alticola Croat & Grayum
Q180694	0af47c35-9013-4ba7-b974-fd16b87183bd: isotype of Cyrtostachys barbata Heatubun
Q180695	0afb991dced035257d92a17b35b440f4: holotype of Euphorbia stictospora var. sublaevis M.C.Johnst.
Q180696	0afe148f-d5bf-4454-a0fe-1812076b58e1: isotype of Casearia guantanamensis Vict.
Q180697	0affad2e-422f-4a47-95a9-e83c42bf7382: holotype of Eremophila fraseri subsp. parva Chinnock
Q180698	0b02ff4a-0f98-418a-b8cb-a02cb94b72c6: isotype of Cleome arenitensis Craven, Lepschi & Fryxell
Q180699	0b06308a-d742-42be-9ff5-999f86c92e43: isotype of Spermacoce gibba Harwood
Q180700	0b11f46edba205c416e1631383cdf6f5: holotype of Gaillardia powellii B.L.Turner
Q180701	0b155d5c-0be0-43ba-b62d-ae4ee3a92157: holotype of Diplazium immensum Stolze
Q180702	0b180e59-6cc3-4546-9dcd-be913e4edc6a: isotype of Nectandra guadaripo Rohwer
Q180704	0b1b844c-d486-4c8c-b363-33a07c9f9757: holotype of Trillium decipiens J.D.Freeman
Q180705	0b20b9f5-465b-4bda-8a2d-84434867faab: holotype of Pinus occidentalis var. baorucoensis Silba
Q180706	0b225777-56f9-4ff9-8fe6-07bd20ab46a6: isotype of Eremophila oblonga Chinnock
Q180707	0b2c8d6d-4e45-4e43-ae5f-4b2a974f5eda: holotype of Xanthomyrtus splendens N.Snow & W.N.Takeuchi
Q180708	0b367bd9-0fb3-48e9-8e27-c56a9ba3570d: holotype of Timonius moluccanus S.P.Darwin
Q180709	0b37723b-002b-4e6c-8450-eccbef30d158: isotype of Zieria madida Duretto & P.I.Forst.
Q180710	0b38b014-28ab-47d3-b194-c3114b30041e: isotype of Yanomamua araca J.R.Grant, Maas & Struwe
Q180711	0b390b2c-559f-4bd6-a490-bdb26eba548c: holotype of Sclerocactus terrae-canyonae K.D.Heil
Q180712	0b3ca22d-889d-42d0-9dbd-f042812a9642: holotype of Ptilotus actinocladus T.Hammer & R.W.Davis
Q180713	0b41dc3d-cfa7-4fc3-8b25-e22335bdf9f4: holotype of Leucopogon borealis Hislop & A.R.Chapm.
Q180714	0b44112b50b860d90c311afb6314685b: holotype of Misanteca ibarrae Lundell
Q180715	0b457922-2c8a-46ae-bbcc-753835b34a3d: isotype of Ouratea vieirae Sastre
Q180716	0b45af43-cb7d-42eb-ab0d-c66e1dd0a273: isotype of Justicia jitotolana T.F.Daniel
Q180717	0b4b25d3-b938-4117-8dfa-e898ed672a77: isotype of Diplusodon pygmaeus T.B.Cavalc.
Q180718	0b4bb9f9-5a2c-4c9b-b131-cd7b18fce73a: isotype of Senecio nigrapicus I.Thomps.
Q180719	0b4d0a81-8da3-48ca-bde2-bedb62b3ceec: isotype of Paepalanthus williamsii Moldenke
Q180720	0b4dfade-082c-44f6-bf6b-ad46f1227350: holotype of Swartzia peremarginata R.S.Cowan
Q180721	0b4f10ac-ba63-45fe-8fff-cd7d8e7a8310: holotype of Eucalyptus orthostemon D.Nicolle & Brooker
Q180722	0b54bf70-e68e-43f0-84a9-9c5bdf12f06a: holotype of Cirsium austrohidakaense Kadota
Q180723	0b5688a8-4299-4b8e-b518-a2863a4b2564: holotype of Philodendron orionis G.S.Bunting
Q180724	0b5a77d8-976c-4ca4-a7de-14a0cb48b353: isotype of Labordia lorenceana K.R.Wood, W.L.Wagner & T.J.Motley
