fullname	ipni	authorship	taxonKey	taxonRank	rank
Rhapis puhuongensis M.S.Trudgen, T.P.Anh & A.J.Hend.	60450754-2	M.S.Trudgen, T.P.Anh & A.J.Hend.	3592993	species	Q16
Rhaptopetalum cheekii Prance	77143532-1	Prance	10793302	species	Q16
Rhaptopetalum geophylax Cheek & Gosline	20007993-1	Cheek & Gosline	3718035	species	Q16
Rheedia arubayensis Coimbra	1005197-1	Coimbra	9178569	species	Q16
Rheedia intermedia Pittier	284207-2	Pittier	3713402	species	Q16
Rheedia magnifolia Pittier	284208-2	Pittier	3713283	species	Q16
Rheedia paniculata Donn.Sm.	284209-2	Donn.Sm.	3713232	species	Q16
Rheochloa scabriflora Filg., P.M.Peterson & Y.Herrera	318370-2	Filg., P.M.Peterson & Y.Herrera	4143176	species	Q16
Rhinacanthus angulicaulis I.Darbysh.	77075319-1	I.Darbysh.	5573040	species	Q16
Rhinacanthus selousensis I.Darbysh.	77075325-1	I.Darbysh.	5572949	species	Q16
Rhinacanthus submontanus T.Harris & I.Darbysh.	77075324-1	T.Harris & I.Darbysh.	5572944	species	Q16
Rhipidocladum longispiculatum Londoño & L.G.Clark	305806-2	Londoño & L.G.Clark	4143043	species	Q16
Rhipidocladum martinezii Davidse & R.W.Pohl	301002-2	Davidse & R.W.Pohl	4143029	species	Q16
Rhipidocladum sibilans Davidse, Judz. & L.G.Clark	306185-2	Davidse, Judz. & L.G.Clark	4142895	species	Q16
Rhipidocladum zoqueorum Ruiz-Sanchez, C.D.Tyrrell & Sosa	77202913-1	Ruiz-Sanchez, C.D.Tyrrell & Sosa	10852493	species	Q16
Rhipidoglossum lucieae Farminhão & P.J.Cribb	77212236-1	Farminhão & P.J.Cribb	12218891	species	Q16
Rhipidoglossum montealenense Descourv., Stévart & P.J.Cribb	77133997-1	Descourv., Stévart & P.J.Cribb	9278060	species	Q16
Rhipsalis aurea M.F.Freitas & J.M.A.Braga	77104232-1	M.F.Freitas & J.M.A.Braga	7911262	species	Q16
Rhipsalis baccifera subsp. hileiabaiana N.P.Taylor & Barthlott	303773-2	N.P.Taylor & Barthlott	3947770	subspecies	Q17
Rhipsalis burchellii Britton & Rose	307421-2	Britton & Rose	3947598	species	Q16
Rhipsalis cereuscula Haw.	309421-2	Haw.	7659514	species	Q16
Rhipsalis elliptica G.Lindb. ex K.Schum.	310790-2	G.Lindb. ex K.Schum.	7281035	species	Q16
Rhipsalis flagelliformis N.P.Taylor & Zappi	77143852-1	N.P.Taylor & Zappi	7901454	species	Q16
Rhipsalis heteroclada Britton & Rose	308481-2	Britton & Rose	3946586	species	Q16
